Customer_ID,Customer_Name,Age,Gender,Annual_Income,Spending_Score,Marital_Status,Product_Category,Years_as_Customer,Number_of_Orders,Average_Order_Value,Loyalty_Membership,Discount_Usage,Preferred_Payment_Method,Preferred_Delivery_Option,Device_Used,Last_Activity,Customer_Region,Review_Score,Customer_Segment
155,Mary Shaw,60,0,143901,100,0,Sports,11,89,175.87,1,1,Credit Card,Same-Day,Desktop,196,Europe,3,2
156,Dylan Jensen,21,1,123101,5,1,Home,8,36,545.42,1,1,Debit Card,Same-Day,Mobile,169,North America,2,0
157,Kellie Johnson,37,1,35022,89,1,Home,13,18,499.19,1,1,Debit Card,Express,Desktop,207,Asia,3,2
158,Kevin Griffith,35,1,75374,59,1,Beauty,4,42,560.69,0,0,Debit Card,Express,Mobile,363,Asia,3,0
159,Ryan Waters,58,0,87829,4,1,Sports,7,24,511.38,0,1,Net Banking,Standard,Tablet,51,North America,2,0
160,Daniel Brady,37,0,162322,97,0,Fashion,14,88,416.79,1,1,Credit Card,Express,Mobile,107,South America,2,2
161,Adriana Johnson,25,0,40242,65,0,Sports,2,1,74.14,0,0,Net Banking,Same-Day,Tablet,58,Europe,4,1
162,Janet Gonzales,52,0,33844,1,1,Home,12,36,831.75,0,1,Net Banking,Express,Mobile,270,Europe,3,0
163,Chelsea Cox,54,0,192536,70,0,Beauty,8,62,442.62,1,0,Credit Card,Express,Mobile,249,Asia,1,0
164,Brittany Oneal,59,0,27052,73,1,Electronics,10,77,307.29,0,0,PayPal,Express,Mobile,128,South America,3,2
165,Kimberly Sanders,57,1,82381,18,0,Beauty,3,84,292.23,1,1,Debit Card,Standard,Mobile,31,Asia,3,1
166,Elizabeth Wilson,31,0,60391,11,1,Beauty,14,33,122.17,0,1,Credit Card,Standard,Tablet,32,North America,2,1
167,John Hall,49,0,160124,64,0,Home,2,4,633.02,0,1,Debit Card,Standard,Desktop,277,North America,3,2
168,Christy Reeves,51,1,125499,79,0,Sports,14,99,528.34,0,1,PayPal,Express,Tablet,28,North America,2,1
169,Natalie Pratt,29,1,142148,58,0,Beauty,11,3,124.02,1,0,Credit Card,Same-Day,Mobile,36,Europe,2,2
170,Brian Miller,32,1,73186,86,1,Sports,1,7,988.41,1,1,Net Banking,Standard,Tablet,233,North America,5,0
171,Patrick Williams,56,1,73135,39,0,Home,1,56,278.73,1,1,PayPal,Same-Day,Mobile,248,North America,3,2
172,Anthony Castaneda,50,0,136709,34,1,Fashion,6,68,422.83,0,0,Debit Card,Standard,Mobile,58,North America,2,2
173,James Atkins,24,1,44462,87,0,Sports,10,79,756.67,0,0,PayPal,Same-Day,Mobile,353,Europe,4,0
174,Brittany Evans,43,0,47187,76,0,Home,3,84,877.03,0,0,Net Banking,Standard,Tablet,26,South America,5,2
175,Elizabeth Serrano,26,1,87982,96,1,Electronics,14,95,452.54,1,0,Credit Card,Express,Mobile,324,North America,4,0
176,Rachel Owens,50,0,166695,14,0,Beauty,10,70,619.27,1,1,Debit Card,Same-Day,Desktop,97,North America,3,1
177,Anthony Edwards,31,1,158445,13,0,Electronics,1,93,291.62,1,1,Debit Card,Express,Desktop,320,South America,3,1
178,Steven Torres,64,0,130568,87,1,Electronics,2,44,592.66,0,0,Debit Card,Express,Tablet,165,Europe,2,2
179,Virginia Jones,64,1,105006,61,1,Electronics,6,70,100.28,1,1,Debit Card,Express,Mobile,139,North America,3,2
180,Christopher Myers,35,1,168339,80,1,Home,12,93,146.82,1,1,Net Banking,Same-Day,Tablet,27,North America,3,1
181,Kimberly Neal,19,0,31667,53,0,Fashion,12,41,320.69,0,1,Net Banking,Same-Day,Tablet,279,Asia,2,1
182,Laura Palmer,47,0,72519,24,0,Beauty,4,2,241.77,0,1,PayPal,Same-Day,Desktop,152,South America,5,2
183,Patrick Rodriguez,67,1,115606,18,1,Fashion,10,96,796.18,1,0,Debit Card,Standard,Tablet,328,South America,4,0
184,Scott Walker,34,1,121546,71,1,Home,14,15,397.82,0,0,Credit Card,Express,Tablet,80,North America,5,1
185,Linda Mitchell,27,1,71032,41,0,Fashion,14,50,330.95,0,1,Credit Card,Standard,Tablet,87,Asia,3,0
186,Dawn Porter,34,0,140483,43,1,Home,2,50,88.14,0,0,PayPal,Standard,Tablet,311,South America,5,0
187,William Montoya,24,0,132003,99,0,Fashion,10,5,896.55,0,1,Credit Card,Same-Day,Tablet,139,Asia,2,0
188,Sarah Kane,45,1,29712,53,0,Beauty,13,5,643.27,1,0,Debit Card,Express,Mobile,31,North America,4,2
189,Richard Keller,22,0,186661,89,1,Beauty,2,13,308.84,1,1,Debit Card,Standard,Mobile,291,North America,2,0
190,Christopher Baldwin,28,0,167775,13,0,Electronics,7,51,207.62,0,0,Net Banking,Standard,Desktop,226,North America,1,2
191,Andrea Lee,40,1,95263,75,0,Fashion,8,43,755.99,1,0,Credit Card,Express,Mobile,191,Asia,3,0
192,Samuel Perez,29,1,119342,35,0,Electronics,6,78,326.47,1,0,PayPal,Standard,Desktop,52,North America,2,0
193,Tina Warren,46,0,163089,93,1,Fashion,4,36,178.82,1,0,Net Banking,Same-Day,Mobile,57,Asia,4,1
194,Bradley Payne,62,0,182337,25,0,Sports,4,75,673.52,1,0,Net Banking,Express,Desktop,278,Asia,2,0
195,Pamela Rodriguez,68,0,26512,97,1,Home,12,95,592.14,1,0,Debit Card,Express,Desktop,157,North America,4,2
196,James Willis,40,0,156420,97,1,Beauty,8,55,467.98,1,0,Net Banking,Standard,Desktop,319,South America,3,1
197,Robert Luna,36,0,66509,91,1,Beauty,10,82,510.62,0,1,Net Banking,Express,Tablet,340,North America,4,1
198,Ashley Thompson,45,1,122770,34,1,Beauty,3,99,327.8,0,1,Debit Card,Express,Desktop,196,North America,2,1
199,Dawn Kane,48,0,193572,66,0,Fashion,10,36,788.07,1,0,Net Banking,Standard,Desktop,89,South America,5,1
200,Tabitha Baker,51,1,61454,2,1,Home,11,41,137.97,0,0,Net Banking,Express,Tablet,253,Europe,2,1
201,Luis Woodward,51,1,93478,96,1,Home,1,71,772.18,1,0,Debit Card,Express,Tablet,98,South America,1,2
202,Kevin Carlson,39,0,34605,74,1,Home,1,6,684.75,1,0,Debit Card,Same-Day,Mobile,6,Asia,2,2
203,Edward Williams,52,1,186084,40,0,Home,5,92,937.74,0,0,Credit Card,Express,Tablet,206,Asia,3,2
204,Mr. Jason Morrow,58,1,192567,82,1,Electronics,10,82,882.31,1,0,Net Banking,Same-Day,Tablet,218,South America,3,2
205,Brandon Mercado,46,1,141463,30,0,Beauty,14,1,409.6,0,1,PayPal,Standard,Tablet,137,South America,4,0
206,Christopher Williams,39,0,114353,88,1,Sports,3,72,321.24,1,1,PayPal,Standard,Mobile,247,South America,2,0
207,Mark Smith,69,0,139912,62,0,Beauty,8,45,465.6,0,0,Debit Card,Express,Desktop,175,Europe,4,0
208,Mary Lee,41,0,182345,44,1,Electronics,4,50,193.73,1,0,Net Banking,Express,Tablet,176,South America,5,0
209,Christopher Miller,45,0,145617,8,1,Home,11,72,250.38,1,0,Debit Card,Same-Day,Tablet,229,South America,1,0
210,Shane Wilson,20,1,178254,79,1,Home,11,57,859.37,1,0,Debit Card,Standard,Mobile,24,Asia,1,2
211,Madeline Martinez,56,0,79765,83,0,Beauty,12,2,984.06,1,0,Net Banking,Express,Desktop,121,North America,5,1
212,Michelle Johnson,57,0,40174,50,0,Home,13,59,554.04,1,1,Credit Card,Standard,Desktop,179,Asia,5,2
213,John Jackson,55,0,181881,18,1,Home,10,50,226.91,0,1,Net Banking,Same-Day,Tablet,292,Asia,1,0
214,Mrs. Vanessa Watts,33,1,63146,55,1,Fashion,7,12,183.35,1,1,Net Banking,Same-Day,Desktop,29,Europe,4,1
215,Megan Warner,46,0,98374,4,1,Fashion,3,87,152.19,1,0,PayPal,Same-Day,Desktop,14,North America,5,2
216,Joseph Smith PhD,43,0,76854,84,1,Beauty,13,72,932.79,0,0,Debit Card,Express,Desktop,40,South America,5,1
217,Richard Perez,52,1,157945,14,1,Beauty,6,59,939.76,0,0,Debit Card,Same-Day,Tablet,152,Asia,1,2
218,Dylan Andrews,22,1,186999,1,1,Sports,3,21,720.79,1,0,PayPal,Same-Day,Desktop,320,South America,2,1
219,Patricia Smith,67,1,105634,80,1,Beauty,7,34,530.24,0,1,PayPal,Same-Day,Tablet,52,Europe,4,0
220,Alicia Mccann,69,0,114217,85,0,Fashion,14,68,927.29,1,1,Net Banking,Standard,Tablet,73,South America,4,2
